1,大阪
2,天満
3,桜ノ宮
4,京橋
5,大阪城公園
6,森ノ宮
7,玉造
8,鶴橋
9,桃谷
10,寺田町
11,天王寺
12,新今宮
13,今宮
14,芦原橋
15,大正
16,弁天町
17,西九条
18,野田
19,福島
